NCU02671.7	NCU00115.7	-
NCU02671.7	NCU00121.7	+
NCU02671.7	NCU00136.7	-
NCU02671.7	NCU00204.7	+
NCU02671.7	NCU00236.7	+
NCU02671.7	NCU00237.7	+
NCU02671.7	NCU00242.7	+
NCU02671.7	NCU00246.7	+
NCU02671.7	NCU00248.7	+
NCU02671.7	NCU00281.7	+
NCU02671.7	NCU00300.7	+
NCU02671.7	NCU00306.7	+
NCU02671.7	NCU00308.7	-
NCU02671.7	NCU00312.7	-
NCU02671.7	NCU00355.7	-
NCU02671.7	NCU00356.7	+
NCU02671.7	NCU00378.7	-
NCU02671.7	NCU00552.7	+
NCU02671.7	NCU00573.7	+
NCU02671.7	NCU00582.7	+
NCU02671.7	NCU00584.7	+
NCU02671.7	NCU00585.7	+
NCU02671.7	NCU00586.7	+
NCU02671.7	NCU00629.7	+
NCU02671.7	NCU00654.7	+
NCU02671.7	NCU00687.7	+
NCU02671.7	NCU00691.7	+
NCU02671.7	NCU00716.7	+
NCU02671.7	NCU00717.7	+
NCU02671.7	NCU00733.7	+
NCU02671.7	NCU00743.7	-
NCU02671.7	NCU00743.7	-
NCU02671.7	NCU00743.7	+
NCU02671.7	NCU00748.7	+
NCU02671.7	NCU00754.7	+
NCU02671.7	NCU00793.7	-
NCU02671.7	NCU00793.7	+
NCU02671.7	NCU00805.7	+
NCU02671.7	NCU00824.7	-
NCU02671.7	NCU00848.7	+
NCU02671.7	NCU00855.7	+
NCU02671.7	NCU00859.7	+
NCU02671.7	NCU00878.7	+
NCU02671.7	NCU00899.7	+
NCU02671.7	NCU00911.7	-
NCU02671.7	NCU00941.7	+
NCU02671.7	NCU00999.7	+
NCU02671.7	NCU01038.7	+
NCU02671.7	NCU01060.7	+
NCU02671.7	NCU01068.7	+
NCU02671.7	NCU01088.7	+
NCU02671.7	NCU01127.7	+
NCU02671.7	NCU01305.7	+
NCU02671.7	NCU01324.7	+
NCU02671.7	NCU01391.7	-
NCU02671.7	NCU01427.7	+
NCU02671.7	NCU01475.7	+
NCU02671.7	NCU01504.7	-
NCU02671.7	NCU01504.7	+
NCU02671.7	NCU01652.7	+
NCU02671.7	NCU01781.7	+
NCU02671.7	NCU01809.7	-
NCU02671.7	NCU01810.7	+
NCU02671.7	NCU01833.7	+
NCU02671.7	NCU01849.7	-
NCU02671.7	NCU01873.7	+
NCU02671.7	NCU01883.7	+
NCU02671.7	NCU01901.7	+
NCU02671.7	NCU01903.7	+
NCU02671.7	NCU01911.7	+
NCU02671.7	NCU01924.7	+
NCU02671.7	NCU01957.7	-
NCU02671.7	NCU01957.7	+
NCU02671.7	NCU01958.7	-
NCU02671.7	NCU02019.7	+
NCU02671.7	NCU02033.7	+
NCU02671.7	NCU02049.7	-
NCU02671.7	NCU02074.7	+
NCU02671.7	NCU02086.7	-
NCU02671.7	NCU02096.7	+
NCU02671.7	NCU02100.7	+
NCU02671.7	NCU02175.7	-
NCU02671.7	NCU02175.7	+
NCU02671.7	NCU02190.7	+
NCU02671.7	NCU02196.7	+
NCU02671.7	NCU02282.7	+
NCU02671.7	NCU02307.7	+
NCU02671.7	NCU02356.7	+
NCU02671.7	NCU02378.7	+
NCU02671.7	NCU02406.7	-
NCU02671.7	NCU02479.7	-
NCU02671.7	NCU02512.7	-
NCU02671.7	NCU02540.7	+
NCU02671.7	NCU02609.7	+
NCU02671.7	NCU02611.7	+
NCU02671.7	NCU02623.7	+
NCU02671.7	NCU02636.7	+
NCU02671.7	NCU02651.7	+
NCU02671.7	NCU02674.7	-
NCU02671.7	NCU02702.7	+
NCU02671.7	NCU02713.7	+
NCU02671.7	NCU02764.7	+
NCU02671.7	NCU02767.7	+
NCU02671.7	NCU02773.7	+
NCU02671.7	NCU02790.7	+
NCU02671.7	NCU02798.7	+
NCU02671.7	NCU02799.7	+
NCU02671.7	NCU02801.7	+
NCU02671.7	NCU02882.7	+
NCU02671.7	NCU02945.7	+
NCU02671.7	NCU02996.7	+
NCU02671.7	NCU03033.7	-
NCU02671.7	NCU03071.7	+
NCU02671.7	NCU03092.7	+
NCU02671.7	NCU03197.7	+
NCU02671.7	NCU03274.7	-
NCU02671.7	NCU03299.7	+
NCU02671.7	NCU03392.7	-
NCU02671.7	NCU03399.7	-
NCU02671.7	NCU03492.7	+
NCU02671.7	NCU03501.7	-
NCU02671.7	NCU03501.7	+
NCU02671.7	NCU03561.7	-
NCU02671.7	NCU03616.7	-
NCU02671.7	NCU03643.7	+
NCU02671.7	NCU03647.7	+
NCU02671.7	NCU03658.7	+
