NCU09033.7	NCU00642.7	+
NCU09033.7	NCU00643.7	+
NCU09033.7	NCU00937.7	-
NCU09033.7	NCU01906.7	+
NCU09033.7	NCU02369.7	+
NCU09033.7	NCU02654.7	+
NCU09033.7	NCU03086.7	+
NCU09033.7	NCU04623.7	+
NCU09033.7	NCU05037.7	+
NCU09033.7	NCU05598.7	-
NCU09033.7	NCU06326.7	+
NCU09033.7	NCU06326.7	-
NCU09033.7	NCU06861.7	-
NCU09033.7	NCU06961.7	+
NCU09033.7	NCU07064.7	+
NCU09033.7	NCU08176.7	-
NCU09033.7	NCU09034.7	+
NCU09033.7	NCU09035.7	+
NCU09033.7	NCU09491.7	+
NCU09033.7	NCU09976.7	+
NCU09033.7	NCU10045.7	-
