NCU06799.7	NCU00028.7	+
NCU06799.7	NCU00090.7	+
NCU06799.7	NCU00144.7	+
NCU06799.7	NCU00163.7	+
NCU06799.7	NCU00196.7	+
NCU06799.7	NCU00233.7	-
NCU06799.7	NCU00244.7	+
NCU06799.7	NCU00265.7	+
NCU06799.7	NCU00306.7	+
NCU06799.7	NCU00309.7	-
NCU06799.7	NCU00355.7	-
NCU06799.7	NCU00399.7	-
NCU06799.7	NCU00401.7	-
NCU06799.7	NCU00408.7	+
NCU06799.7	NCU00509.7	-
NCU06799.7	NCU00550.7	+
NCU06799.7	NCU00567.7	+
NCU06799.7	NCU00575.7	+
NCU06799.7	NCU00576.7	+
NCU06799.7	NCU00593.7	+
NCU06799.7	NCU00605.7	+
NCU06799.7	NCU00638.7	+
NCU06799.7	NCU00642.7	-
NCU06799.7	NCU00695.7	-
NCU06799.7	NCU00721.7	-
NCU06799.7	NCU00730.7	-
NCU06799.7	NCU00732.7	-
NCU06799.7	NCU00751.7	-
NCU06799.7	NCU00798.7	+
NCU06799.7	NCU00821.7	+
NCU06799.7	NCU00845.7	-
NCU06799.7	NCU00848.7	+
NCU06799.7	NCU00849.7	+
NCU06799.7	NCU00855.7	-
NCU06799.7	NCU00865.7	-
NCU06799.7	NCU00868.7	-
NCU06799.7	NCU00869.7	-
NCU06799.7	NCU00873.7	-
NCU06799.7	NCU00878.7	-
NCU06799.7	NCU00947.7	+
NCU06799.7	NCU00950.7	+
NCU06799.7	NCU00985.7	-
NCU06799.7	NCU00987.7	-
NCU06799.7	NCU00988.7	-
NCU06799.7	NCU00999.7	+
NCU06799.7	NCU01011.7	-
NCU06799.7	NCU01057.7	-
NCU06799.7	NCU01088.7	-
NCU06799.7	NCU01092.7	-
NCU06799.7	NCU01181.7	-
NCU06799.7	NCU01195.7	+
NCU06799.7	NCU01241.7	+
NCU06799.7	NCU01246.7	+
NCU06799.7	NCU01267.7	+
NCU06799.7	NCU01271.7	+
NCU06799.7	NCU01292.7	-
NCU06799.7	NCU01306.7	+
NCU06799.7	NCU01312.7	+
NCU06799.7	NCU01312.7	+
NCU06799.7	NCU01343.7	+
NCU06799.7	NCU01353.7	-
NCU06799.7	NCU01357.7	-
NCU06799.7	NCU01376.7	-
NCU06799.7	NCU01381.7	+
NCU06799.7	NCU01386.7	+
NCU06799.7	NCU01395.7	+
NCU06799.7	NCU01424.7	-
NCU06799.7	NCU01430.7	-
NCU06799.7	NCU01457.7	+
NCU06799.7	NCU01534.7	-
NCU06799.7	NCU01538.7	-
NCU06799.7	NCU01543.7	+
NCU06799.7	NCU01620.7	-
NCU06799.7	NCU01699.7	-
NCU06799.7	NCU01735.7	-
NCU06799.7	NCU01767.7	-
NCU06799.7	NCU01771.7	+
NCU06799.7	NCU01818.7	+
NCU06799.7	NCU01845.7	-
NCU06799.7	NCU01855.7	+
NCU06799.7	NCU02030.7	-
NCU06799.7	NCU02084.7	-
NCU06799.7	NCU02085.7	-
NCU06799.7	NCU02086.7	-
NCU06799.7	NCU02096.7	-
NCU06799.7	NCU02097.7	-
NCU06799.7	NCU02128.7	-
NCU06799.7	NCU02175.7	+
NCU06799.7	NCU02184.7	+
NCU06799.7	NCU02232.7	+
NCU06799.7	NCU02294.7	+
NCU06799.7	NCU02317.7	-
NCU06799.7	NCU02318.7	+
NCU06799.7	NCU02329.7	-
NCU06799.7	NCU02338.7	-
NCU06799.7	NCU02344.7	-
NCU06799.7	NCU02390.7	+
NCU06799.7	NCU02408.7	+
NCU06799.7	NCU02486.7	-
NCU06799.7	NCU02524.7	+
NCU06799.7	NCU02526.7	-
NCU06799.7	NCU02534.7	+
NCU06799.7	NCU02545.7	+
NCU06799.7	NCU02548.7	+
NCU06799.7	NCU02568.7	-
NCU06799.7	NCU02570.7	+
NCU06799.7	NCU02582.7	+
NCU06799.7	NCU02588.7	+
NCU06799.7	NCU02619.7	+
NCU06799.7	NCU02674.7	+
NCU06799.7	NCU02675.7	+
NCU06799.7	NCU02679.7	-
NCU06799.7	NCU02748.7	+
NCU06799.7	NCU02761.7	-
NCU06799.7	NCU02765.7	-
NCU06799.7	NCU02790.7	+
NCU06799.7	NCU02811.7	-
NCU06799.7	NCU02875.7	-
NCU06799.7	NCU02903.7	-
NCU06799.7	NCU02916.7	-
NCU06799.7	NCU02930.7	-
NCU06799.7	NCU03013.7	+
NCU06799.7	NCU03078.7	-
NCU06799.7	NCU03079.7	-
NCU06799.7	NCU03107.7	+
NCU06799.7	NCU03118.7	+
NCU06799.7	NCU03121.7	-
NCU06799.7	NCU03226.7	+
NCU06799.7	NCU03229.7	+
NCU06799.7	NCU03238.7	+
NCU06799.7	NCU03294.7	-
NCU06799.7	NCU03315.7	+
NCU06799.7	NCU03323.7	-
NCU06799.7	NCU03331.7	-
NCU06799.7	NCU03497.7	+
NCU06799.7	NCU03506.7	-
NCU06799.7	NCU03509.7	+
NCU06799.7	NCU03571.7	+
NCU06799.7	NCU03600.7	-
NCU06799.7	NCU03602.7	+
NCU06799.7	NCU03647.7	-
NCU06799.7	NCU03648.7	-
NCU06799.7	NCU03693.7	-
NCU06799.7	NCU03736.7	-
NCU06799.7	NCU03761.7	+
NCU06799.7	NCU03773.7	-
NCU06799.7	NCU03778.7	+
NCU06799.7	NCU03792.7	+
NCU06799.7	NCU03798.7	+
NCU06799.7	NCU03802.7	+
NCU06799.7	NCU03803.7	-
NCU06799.7	NCU03809.7	+
NCU06799.7	NCU03863.7	-
NCU06799.7	NCU03973.7	+
NCU06799.7	NCU03985.7	-
NCU06799.7	NCU04007.7	+
NCU06799.7	NCU04050.7	+
NCU06799.7	NCU04058.7	-
NCU06799.7	NCU04120.7	-
NCU06799.7	NCU04122.7	-
