NCU01856.7	NCU00104.7	-
NCU01856.7	NCU00177.7	-
NCU01856.7	NCU00315.7	-
NCU01856.7	NCU00355.7	+
NCU01856.7	NCU00405.7	-
NCU01856.7	NCU00633.7	-
NCU01856.7	NCU00706.7	-
NCU01856.7	NCU00716.7	+
NCU01856.7	NCU00859.7	-
NCU01856.7	NCU00965.7	+
NCU01856.7	NCU00979.7	-
NCU01856.7	NCU01039.7	+
NCU01856.7	NCU01200.7	+
NCU01856.7	NCU01231.7	+
NCU01856.7	NCU01418.7	+
NCU01856.7	NCU01429.7	-
NCU01856.7	NCU01439.7	-
NCU01856.7	NCU01487.7	+
NCU01856.7	NCU01546.7	+
NCU01856.7	NCU01589.7	-
NCU01856.7	NCU01754.7	+
NCU01856.7	NCU01769.7	+
NCU01856.7	NCU01830.7	-
NCU01856.7	NCU01835.7	+
NCU01856.7	NCU01845.7	+
NCU01856.7	NCU01871.7	+
NCU01856.7	NCU01965.7	-
NCU01856.7	NCU02074.7	+
NCU01856.7	NCU02096.7	+
NCU01856.7	NCU02193.7	+
NCU01856.7	NCU02274.7	-
NCU01856.7	NCU02390.7	-
NCU01856.7	NCU02490.7	+
NCU01856.7	NCU02500.7	+
NCU01856.7	NCU02520.7	-
NCU01856.7	NCU02541.7	+
NCU01856.7	NCU02623.7	+
NCU01856.7	NCU02624.7	+
NCU01856.7	NCU02630.7	-
NCU01856.7	NCU02639.7	-
NCU01856.7	NCU02777.7	+
NCU01856.7	NCU02785.7	-
NCU01856.7	NCU02793.7	+
NCU01856.7	NCU02887.7	-
NCU01856.7	NCU03024.7	+
NCU01856.7	NCU03087.7	-
NCU01856.7	NCU03107.7	-
NCU01856.7	NCU03117.7	-
NCU01856.7	NCU03118.7	-
NCU01856.7	NCU03302.7	-
NCU01856.7	NCU03318.7	+
NCU01856.7	NCU03329.7	-
NCU01856.7	NCU03333.7	+
NCU01856.7	NCU03492.7	+
NCU01856.7	NCU03518.7	+
NCU01856.7	NCU03575.7	-
NCU01856.7	NCU03635.7	-
NCU01856.7	NCU03684.7	+
NCU01856.7	NCU03781.7	+
NCU01856.7	NCU03853.7	-
NCU01856.7	NCU03982.7	+
NCU01856.7	NCU04016.7	-
NCU01856.7	NCU04020.7	-
NCU01856.7	NCU04034.7	+
NCU01856.7	NCU04127.7	+
NCU01856.7	NCU04142.7	-
NCU01856.7	NCU04169.7	+
NCU01856.7	NCU04170.7	+
NCU01856.7	NCU04249.7	+
NCU01856.7	NCU04256.7	-
NCU01856.7	NCU04265.7	+
NCU01856.7	NCU04266.7	-
NCU01856.7	NCU04268.7	+
NCU01856.7	NCU04276.7	+
NCU01856.7	NCU04334.7	-
NCU01856.7	NCU04340.7	+
NCU01856.7	NCU04342.7	-
NCU01856.7	NCU04360.7	-
NCU01856.7	NCU04466.7	-
NCU01856.7	NCU04502.7	+
NCU01856.7	NCU04583.7	-
NCU01856.7	NCU04932.7	+
NCU01856.7	NCU04963.7	+
NCU01856.7	NCU05005.7	-
NCU01856.7	NCU05061.7	-
NCU01856.7	NCU05069.7	-
NCU01856.7	NCU05095.7	-
NCU01856.7	NCU05121.7	-
NCU01856.7	NCU05129.7	-
NCU01856.7	NCU05137.7	+
NCU01856.7	NCU05165.7	-
NCU01856.7	NCU05230.7	-
NCU01856.7	NCU05264.7	-
NCU01856.7	NCU05277.7	-
NCU01856.7	NCU05338.7	+
NCU01856.7	NCU05477.7	-
NCU01856.7	NCU05548.7	-
NCU01856.7	NCU05627.7	+
NCU01856.7	NCU05691.7	+
NCU01856.7	NCU05751.7	-
NCU01856.7	NCU05752.7	-
NCU01856.7	NCU05897.7	+
NCU01856.7	NCU05980.7	+
NCU01856.7	NCU06114.7	-
NCU01856.7	NCU06128.7	+
NCU01856.7	NCU06207.7	+
NCU01856.7	NCU06214.7	-
NCU01856.7	NCU06301.7	-
NCU01856.7	NCU06376.7	-
NCU01856.7	NCU06402.7	+
NCU01856.7	NCU06425.7	-
NCU01856.7	NCU06432.7	-
NCU01856.7	NCU06457.7	-
NCU01856.7	NCU06524.7	+
NCU01856.7	NCU06550.7	-
NCU01856.7	NCU06597.7	-
NCU01856.7	NCU06694.7	-
NCU01856.7	NCU06717.7	-
NCU01856.7	NCU06815.7	+
NCU01856.7	NCU06923.7	+
NCU01856.7	NCU06945.7	-
NCU01856.7	NCU06983.7	+
NCU01856.7	NCU07017.7	+
NCU01856.7	NCU07232.7	-
NCU01856.7	NCU07257.7	+
NCU01856.7	NCU07311.7	+
NCU01856.7	NCU07334.7	+
NCU01856.7	NCU07352.7	+
