NCU09686.7	NCU00010.7	-
NCU09686.7	NCU00010.7	+
NCU09686.7	NCU00025.7	-
NCU09686.7	NCU00026.7	+
NCU09686.7	NCU00042.7	-
NCU09686.7	NCU00068.7	-
NCU09686.7	NCU00073.7	-
NCU09686.7	NCU00074.7	+
NCU09686.7	NCU00088.7	+
NCU09686.7	NCU00090.7	-
NCU09686.7	NCU00104.7	+
NCU09686.7	NCU00107.7	+
NCU09686.7	NCU00124.7	-
NCU09686.7	NCU00167.7	-
NCU09686.7	NCU00168.7	-
NCU09686.7	NCU00169.7	-
NCU09686.7	NCU00182.7	-
NCU09686.7	NCU00196.7	-
NCU09686.7	NCU00202.7	-
NCU09686.7	NCU00225.7	+
NCU09686.7	NCU00230.7	-
NCU09686.7	NCU00246.7	+
NCU09686.7	NCU00247.7	-
NCU09686.7	NCU00247.7	+
NCU09686.7	NCU00247.7	+
NCU09686.7	NCU00248.7	-
NCU09686.7	NCU00248.7	+
NCU09686.7	NCU00248.7	+
NCU09686.7	NCU00260.7	+
NCU09686.7	NCU00270.7	+
NCU09686.7	NCU00289.7	-
NCU09686.7	NCU00295.7	+
NCU09686.7	NCU00304.7	+
NCU09686.7	NCU00306.7	+
NCU09686.7	NCU00320.7	-
NCU09686.7	NCU00322.7	+
NCU09686.7	NCU00326.7	+
NCU09686.7	NCU00347.7	-
NCU09686.7	NCU00352.7	-
NCU09686.7	NCU00355.7	+
NCU09686.7	NCU00360.7	+
NCU09686.7	NCU00365.7	+
NCU09686.7	NCU00373.7	-
NCU09686.7	NCU00385.7	+
NCU09686.7	NCU00395.7	-
NCU09686.7	NCU00397.7	+
NCU09686.7	NCU00419.7	-
NCU09686.7	NCU00420.7	-
NCU09686.7	NCU00434.7	-
NCU09686.7	NCU00441.7	-
NCU09686.7	NCU00447.7	-
NCU09686.7	NCU00451.7	+
NCU09686.7	NCU00457.7	-
NCU09686.7	NCU00461.7	-
NCU09686.7	NCU00472.7	+
NCU09686.7	NCU00473.7	-
NCU09686.7	NCU00480.7	-
NCU09686.7	NCU00483.7	-
NCU09686.7	NCU00486.7	-
NCU09686.7	NCU00495.7	-
NCU09686.7	NCU00498.7	+
NCU09686.7	NCU00519.7	+
NCU09686.7	NCU00522.7	+
NCU09686.7	NCU00528.7	-
NCU09686.7	NCU00545.7	-
NCU09686.7	NCU00565.7	-
NCU09686.7	NCU00573.7	-
NCU09686.7	NCU00585.7	+
NCU09686.7	NCU00591.7	+
NCU09686.7	NCU00596.7	-
NCU09686.7	NCU00600.7	-
NCU09686.7	NCU00609.7	+
NCU09686.7	NCU00611.7	-
NCU09686.7	NCU00611.7	+
NCU09686.7	NCU00611.7	+
NCU09686.7	NCU00632.7	-
NCU09686.7	NCU00644.7	-
NCU09686.7	NCU00668.7	-
NCU09686.7	NCU00670.7	-
NCU09686.7	NCU00673.7	+
NCU09686.7	NCU00684.7	-
NCU09686.7	NCU00687.7	-
NCU09686.7	NCU00694.7	-
NCU09686.7	NCU00696.7	+
NCU09686.7	NCU00701.7	+
NCU09686.7	NCU00706.7	+
NCU09686.7	NCU00717.7	-
NCU09686.7	NCU00720.7	+
NCU09686.7	NCU00729.7	+
NCU09686.7	NCU00741.7	+
NCU09686.7	NCU00748.7	+
NCU09686.7	NCU00760.7	-
NCU09686.7	NCU00768.7	-
NCU09686.7	NCU00774.7	+
NCU09686.7	NCU00792.7	-
NCU09686.7	NCU00796.7	+
NCU09686.7	NCU00801.7	+
NCU09686.7	NCU00805.7	-
NCU09686.7	NCU00811.7	-
NCU09686.7	NCU00812.7	-
NCU09686.7	NCU00828.7	-
NCU09686.7	NCU00829.7	-
NCU09686.7	NCU00830.7	-
NCU09686.7	NCU00831.7	-
NCU09686.7	NCU00835.7	+
NCU09686.7	NCU00838.7	+
NCU09686.7	NCU00855.7	+
NCU09686.7	NCU00867.7	+
NCU09686.7	NCU00868.7	+
NCU09686.7	NCU00877.7	-
NCU09686.7	NCU00896.7	-
NCU09686.7	NCU00897.7	-
NCU09686.7	NCU00899.7	-
NCU09686.7	NCU00900.7	-
NCU09686.7	NCU00911.7	+
NCU09686.7	NCU00916.7	-
NCU09686.7	NCU00928.7	-
NCU09686.7	NCU00929.7	-
NCU09686.7	NCU00935.7	-
NCU09686.7	NCU00938.7	+
NCU09686.7	NCU00955.7	-
NCU09686.7	NCU00957.7	-
NCU09686.7	NCU00984.7	-
NCU09686.7	NCU00985.7	+
NCU09686.7	NCU00992.7	+
NCU09686.7	NCU00999.7	-
NCU09686.7	NCU00999.7	+
NCU09686.7	NCU01004.7	-
NCU09686.7	NCU01013.7	+
NCU09686.7	NCU01021.7	+
NCU09686.7	NCU01032.7	+
NCU09686.7	NCU01036.7	-
NCU09686.7	NCU01056.7	-
NCU09686.7	NCU01080.7	-
NCU09686.7	NCU01108.7	+
NCU09686.7	NCU01109.7	-
NCU09686.7	NCU01112.7	+
NCU09686.7	NCU01127.7	+
NCU09686.7	NCU01138.7	+
NCU09686.7	NCU01162.7	+
NCU09686.7	NCU01165.7	-
NCU09686.7	NCU01167.7	+
NCU09686.7	NCU01175.7	+
NCU09686.7	NCU01181.7	+
NCU09686.7	NCU01193.7	-
NCU09686.7	NCU01197.7	-
NCU09686.7	NCU01202.7	+
NCU09686.7	NCU01219.7	-
NCU09686.7	NCU01230.7	-
NCU09686.7	NCU01249.7	-
NCU09686.7	NCU01255.7	+
NCU09686.7	NCU01258.7	+
NCU09686.7	NCU01271.7	-
NCU09686.7	NCU01272.7	+
NCU09686.7	NCU01285.7	-
NCU09686.7	NCU01290.7	-
NCU09686.7	NCU01294.7	-
NCU09686.7	NCU01296.7	+
NCU09686.7	NCU01302.7	-
NCU09686.7	NCU01302.7	+
NCU09686.7	NCU01315.7	-
NCU09686.7	NCU01315.7	-
NCU09686.7	NCU01315.7	+
NCU09686.7	NCU01320.7	+
NCU09686.7	NCU01324.7	-
NCU09686.7	NCU01328.7	+
NCU09686.7	NCU01347.7	+
NCU09686.7	NCU01348.7	+
NCU09686.7	NCU01353.7	-
NCU09686.7	NCU01378.7	-
NCU09686.7	NCU01386.7	-
NCU09686.7	NCU01386.7	+
NCU09686.7	NCU01386.7	+
NCU09686.7	NCU01391.7	-
NCU09686.7	NCU01400.7	+
NCU09686.7	NCU01424.7	+
NCU09686.7	NCU01433.7	-
NCU09686.7	NCU01440.7	-
NCU09686.7	NCU01441.7	+
NCU09686.7	NCU01442.7	-
NCU09686.7	NCU01444.7	-
NCU09686.7	NCU01456.7	-
NCU09686.7	NCU01471.7	+
NCU09686.7	NCU01479.7	-
NCU09686.7	NCU01483.7	-
NCU09686.7	NCU01487.7	-
NCU09686.7	NCU01489.7	-
NCU09686.7	NCU01498.7	-
NCU09686.7	NCU01499.7	-
NCU09686.7	NCU01504.7	-
NCU09686.7	NCU01509.7	-
NCU09686.7	NCU01509.7	+
NCU09686.7	NCU01517.7	-
NCU09686.7	NCU01523.7	-
NCU09686.7	NCU01538.7	-
