NCU00499.7	NCU00024.7	+
NCU00499.7	NCU00050.7	-
NCU00499.7	NCU00068.7	+
NCU00499.7	NCU00103.7	-
NCU00499.7	NCU00114.7	-
NCU00499.7	NCU00216.7	-
NCU00499.7	NCU00227.7	-
NCU00499.7	NCU00258.7	-
NCU00499.7	NCU00265.7	+
NCU00499.7	NCU00273.7	+
NCU00499.7	NCU00294.7	-
NCU00499.7	NCU00329.7	+
NCU00499.7	NCU00356.7	+
NCU00499.7	NCU00371.7	-
NCU00499.7	NCU00388.7	+
NCU00499.7	NCU00405.7	-
NCU00499.7	NCU00413.7	-
NCU00499.7	NCU00414.7	-
NCU00499.7	NCU00422.7	-
NCU00499.7	NCU00431.7	-
NCU00499.7	NCU00443.7	-
NCU00499.7	NCU00464.7	-
NCU00499.7	NCU00475.7	-
NCU00499.7	NCU00477.7	+
NCU00499.7	NCU00502.7	-
NCU00499.7	NCU00519.7	-
NCU00499.7	NCU00554.7	-
NCU00499.7	NCU00567.7	-
NCU00499.7	NCU00589.7	+
NCU00499.7	NCU00591.7	+
NCU00499.7	NCU00595.7	+
NCU00499.7	NCU00629.7	-
NCU00499.7	NCU00634.7	-
NCU00499.7	NCU00635.7	-
NCU00499.7	NCU00644.7	-
NCU00499.7	NCU00692.7	-
NCU00499.7	NCU00694.7	+
NCU00499.7	NCU00696.7	+
NCU00499.7	NCU00710.7	+
NCU00499.7	NCU00714.7	-
NCU00499.7	NCU00729.7	+
NCU00499.7	NCU00765.7	+
NCU00499.7	NCU00766.7	+
NCU00499.7	NCU00792.7	-
NCU00499.7	NCU00821.7	+
NCU00499.7	NCU00865.7	+
NCU00499.7	NCU00888.7	-
NCU00499.7	NCU00894.7	-
NCU00499.7	NCU00911.7	+
NCU00499.7	NCU00915.7	-
NCU00499.7	NCU00916.7	+
NCU00499.7	NCU00963.7	-
NCU00499.7	NCU00979.7	-
NCU00499.7	NCU01097.7	+
NCU00499.7	NCU01121.7	-
NCU00499.7	NCU01160.7	-
NCU00499.7	NCU01175.7	-
NCU00499.7	NCU01183.7	-
NCU00499.7	NCU01221.7	-
NCU00499.7	NCU01234.7	-
NCU00499.7	NCU01320.7	-
NCU00499.7	NCU01328.7	-
NCU00499.7	NCU01378.7	+
NCU00499.7	NCU01412.7	-
NCU00499.7	NCU01414.7	+
NCU00499.7	NCU01417.7	+
NCU00499.7	NCU01439.7	-
NCU00499.7	NCU01443.7	-
NCU00499.7	NCU01449.7	+
NCU00499.7	NCU01452.7	-
NCU00499.7	NCU01484.7	+
NCU00499.7	NCU01504.7	+
NCU00499.7	NCU01517.7	+
NCU00499.7	NCU01528.7	-
NCU00499.7	NCU01546.7	-
NCU00499.7	NCU01548.7	+
NCU00499.7	NCU01552.7	-
NCU00499.7	NCU01559.7	+
NCU00499.7	NCU01589.7	-
NCU00499.7	NCU01605.7	+
NCU00499.7	NCU01606.7	-
NCU00499.7	NCU01632.7	-
NCU00499.7	NCU01689.7	-
NCU00499.7	NCU01720.7	-
NCU00499.7	NCU01729.7	+
NCU00499.7	NCU01731.7	+
NCU00499.7	NCU01747.7	+
NCU00499.7	NCU01754.7	+
NCU00499.7	NCU01776.7	-
NCU00499.7	NCU01800.7	-
NCU00499.7	NCU01808.7	-
NCU00499.7	NCU01827.7	-
NCU00499.7	NCU01881.7	+
NCU00499.7	NCU01948.7	-
NCU00499.7	NCU01949.7	-
NCU00499.7	NCU01960.7	+
NCU00499.7	NCU01965.7	-
NCU00499.7	NCU01966.7	-
NCU00499.7	NCU01983.7	-
NCU00499.7	NCU01985.7	-
NCU00499.7	NCU02003.7	-
NCU00499.7	NCU02031.7	+
NCU00499.7	NCU02044.7	-
NCU00499.7	NCU02136.7	-
NCU00499.7	NCU02156.7	-
NCU00499.7	NCU02178.7	+
NCU00499.7	NCU02181.7	-
NCU00499.7	NCU02207.7	-
NCU00499.7	NCU02252.7	-
NCU00499.7	NCU02257.7	+
NCU00499.7	NCU02273.7	+
NCU00499.7	NCU02274.7	-
NCU00499.7	NCU02282.7	+
NCU00499.7	NCU02325.7	-
NCU00499.7	NCU02328.7	+
NCU00499.7	NCU02400.7	+
NCU00499.7	NCU02405.7	-
NCU00499.7	NCU02407.7	-
NCU00499.7	NCU02414.7	-
NCU00499.7	NCU02425.7	+
NCU00499.7	NCU02427.7	-
NCU00499.7	NCU02430.7	-
NCU00499.7	NCU02492.7	+
NCU00499.7	NCU02505.7	-
NCU00499.7	NCU02514.7	-
NCU00499.7	NCU02523.7	+
NCU00499.7	NCU02542.7	-
NCU00499.7	NCU02549.7	-
NCU00499.7	NCU02571.7	-
NCU00499.7	NCU02585.7	-
NCU00499.7	NCU02595.7	-
NCU00499.7	NCU02596.7	+
NCU00499.7	NCU02629.7	-
NCU00499.7	NCU02639.7	-
NCU00499.7	NCU02640.7	-
NCU00499.7	NCU02657.7	-
NCU00499.7	NCU02671.7	+
NCU00499.7	NCU02677.7	-
NCU00499.7	NCU02695.7	-
NCU00499.7	NCU02707.7	-
NCU00499.7	NCU02744.7	-
NCU00499.7	NCU02757.7	-
NCU00499.7	NCU02759.7	+
NCU00499.7	NCU02765.7	+
NCU00499.7	NCU02771.7	-
NCU00499.7	NCU02784.7	-
NCU00499.7	NCU02785.7	-
NCU00499.7	NCU02804.7	-
NCU00499.7	NCU02807.7	-
NCU00499.7	NCU02810.7	-
NCU00499.7	NCU02839.7	-
NCU00499.7	NCU02855.7	+
NCU00499.7	NCU02904.7	+
NCU00499.7	NCU02943.7	-
NCU00499.7	NCU02954.7	-
NCU00499.7	NCU02955.7	-
NCU00499.7	NCU02956.7	+
NCU00499.7	NCU02963.7	-
NCU00499.7	NCU02996.7	+
NCU00499.7	NCU03013.7	+
NCU00499.7	NCU03038.7	-
NCU00499.7	NCU03040.7	+
NCU00499.7	NCU03043.7	+
NCU00499.7	NCU03076.7	-
NCU00499.7	NCU03079.7	+
NCU00499.7	NCU03080.7	-
NCU00499.7	NCU03084.7	-
NCU00499.7	NCU03100.7	-
NCU00499.7	NCU03102.7	-
NCU00499.7	NCU03112.7	-
NCU00499.7	NCU03117.7	-
NCU00499.7	NCU03118.7	-
NCU00499.7	NCU03120.7	+
NCU00499.7	NCU03139.7	-
NCU00499.7	NCU03147.7	-
NCU00499.7	NCU03150.7	-
NCU00499.7	NCU03151.7	-
NCU00499.7	NCU03152.7	-
NCU00499.7	NCU03168.7	+
NCU00499.7	NCU03194.7	-
NCU00499.7	NCU03199.7	-
NCU00499.7	NCU03222.7	+
NCU00499.7	NCU03246.7	+
NCU00499.7	NCU03255.7	+
NCU00499.7	NCU03283.7	-
NCU00499.7	NCU03310.7	-
NCU00499.7	NCU03313.7	+
NCU00499.7	NCU03343.7	-
NCU00499.7	NCU03415.7	+
NCU00499.7	NCU03509.7	+
NCU00499.7	NCU03558.7	-
NCU00499.7	NCU03575.7	-
NCU00499.7	NCU03608.7	-
NCU00499.7	NCU03635.7	-
NCU00499.7	NCU03696.7	+
NCU00499.7	NCU03753.7	+
NCU00499.7	NCU03806.7	-
NCU00499.7	NCU03826.7	-
NCU00499.7	NCU03827.7	-
NCU00499.7	NCU03853.7	-
NCU00499.7	NCU03873.7	+
NCU00499.7	NCU03876.7	-
NCU00499.7	NCU03877.7	-
NCU00499.7	NCU03926.7	-
NCU00499.7	NCU03955.7	+
NCU00499.7	NCU03982.7	-
NCU00499.7	NCU04005.7	+
NCU00499.7	NCU04020.7	-
NCU00499.7	NCU04039.7	-
NCU00499.7	NCU04051.7	-
NCU00499.7	NCU04068.7	-
NCU00499.7	NCU04140.7	-
NCU00499.7	NCU04142.7	-
NCU00499.7	NCU04145.7	+
NCU00499.7	NCU04153.7	-
NCU00499.7	NCU04175.7	+
NCU00499.7	NCU04181.7	-
NCU00499.7	NCU04207.7	+
NCU00499.7	NCU04221.7	+
NCU00499.7	NCU04265.7	+
NCU00499.7	NCU04266.7	+
